module,function,class,verdict,releasefast_ns,note
detour,findConnectingPolys,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour,getTileAndPolyByRefUnsafe,D,N/A,,lifecycle/alloc/dispatch — no analog
detour,getTileAndPolyByRef,D,N/A,,lifecycle/alloc/dispatch — no analog
detour,isValidPolyRef,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour,getOffMeshConnectionByRef,D,N/A,,lifecycle/alloc/dispatch — no analog
detour,setPolyFlags,D,N/A,,lifecycle/alloc/dispatch — no analog
detour,getPolyFlags,D,N/A,,lifecycle/alloc/dispatch — no analog
detour,setPolyArea,D,N/A,,lifecycle/alloc/dispatch — no analog
detour,getPolyArea,D,N/A,,lifecycle/alloc/dispatch — no analog
detour,queryPolygonsInTile,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour,findNearestPolyInTile,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour,findNearestPolyInDirection,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour,connectExtLinks,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour,unconnectLinks,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour,addTile,D,N/A,,lifecycle/alloc/dispatch — no analog
detour,baseOffMeshLinks,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour,connectExtOffMeshLinks,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour,removeTile,D,N/A,,lifecycle/alloc/dispatch — no analog
detour,getPolyHeightInternal,D,N/A,,lifecycle/alloc/dispatch — no analog
detour,getPolyHeight,D,N/A,,lifecycle/alloc/dispatch — no analog
detour,closestPointOnPoly,A,N/A,,class-A leaf; needs runtime fixture (navmesh/agent) — exercised via enclosing query/crowd stage
detour,closestPointOnPolyBoundary,A,N/A,,class-A leaf; needs runtime fixture (navmesh/agent) — exercised via enclosing query/crowd stage
detour,getPortalPoints,D,N/A,,lifecycle/alloc/dispatch — no analog
detour,getEdgeMidPoint,D,N/A,,lifecycle/alloc/dispatch — no analog
detour,getOffMeshConnectionPolyEndPoints,D,N/A,,lifecycle/alloc/dispatch — no analog
detour,getTileStateSize,D,N/A,,lifecycle/alloc/dispatch — no analog
detour,storeTileState,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour,restoreTileState,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour,init,D,N/A,,lifecycle/alloc/dispatch — no analog
detour,passFilter,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour,getCost,D,N/A,,lifecycle/alloc/dispatch — no analog
detour,init,D,N/A,,lifecycle/alloc/dispatch — no analog
detour,init,D,N/A,,lifecycle/alloc/dispatch — no analog
detour,init,D,N/A,,lifecycle/alloc/dispatch — no analog
detour,deinit,D,N/A,,lifecycle/alloc/dispatch — no analog
detour,clear,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour,getNode,D,N/A,,lifecycle/alloc/dispatch — no analog
detour,findNode,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour,findNodes,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour,getNodeIdx,D,N/A,,lifecycle/alloc/dispatch — no analog
detour,getNodeAtIdx,D,N/A,,lifecycle/alloc/dispatch — no analog
detour,getNodeAtIdxConst,D,N/A,,lifecycle/alloc/dispatch — no analog
detour,getNodeCount,D,N/A,,lifecycle/alloc/dispatch — no analog
detour,getMaxNodes,D,N/A,,lifecycle/alloc/dispatch — no analog
detour,getHashSize,D,N/A,,lifecycle/alloc/dispatch — no analog
detour,init,D,N/A,,lifecycle/alloc/dispatch — no analog
detour,deinit,D,N/A,,lifecycle/alloc/dispatch — no analog
detour,clear,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour,empty,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour,top,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour,pop,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour,push,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour,modify,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour,getCapacity,D,N/A,,lifecycle/alloc/dispatch — no analog
detour,bubbleUp,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour,trickleDown,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour,init,D,N/A,,lifecycle/alloc/dispatch — no analog
detour,init,D,N/A,,lifecycle/alloc/dispatch — no analog
detour,deinit,D,N/A,,lifecycle/alloc/dispatch — no analog
detour,initQuery,D,N/A,,lifecycle/alloc/dispatch — no analog
detour,getAttachedNavMesh,D,N/A,,lifecycle/alloc/dispatch — no analog
detour,getNodePool,D,N/A,,lifecycle/alloc/dispatch — no analog
detour,isValidPolyRef,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour,isInClosedList,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour,queryPolygons,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour,queryPolygonsInTile,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour,findPath,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour,getPathToNode,D,N/A,,lifecycle/alloc/dispatch — no analog
detour,findNearestPoly,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour,getPortalPoints,D,N/A,,lifecycle/alloc/dispatch — no analog
detour,findStraightPath,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour,moveAlongSurface,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour,raycast,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour,findDistanceToWall,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour,findLocalNeighbourhood,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour,getPolyHeight,D,N/A,,lifecycle/alloc/dispatch — no analog
detour,findRandomPoint,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour,findRandomPointAroundCircle,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour,closestPointOnPoly,A,N/A,,class-A leaf; needs runtime fixture (navmesh/agent) — exercised via enclosing query/crowd stage
detour,closestPointOnPolyBoundary,A,N/A,,class-A leaf; needs runtime fixture (navmesh/agent) — exercised via enclosing query/crowd stage
detour,findPolysAroundCircle,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour,findPolysAroundShape,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour,initSlicedFindPath,D,N/A,,lifecycle/alloc/dispatch — no analog
detour,updateSlicedFindPath,D,N/A,,lifecycle/alloc/dispatch — no analog
detour,finalizeSlicedFindPath,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour,finalizeSlicedFindPathPartial,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour,appendVertex,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour,appendPortals,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour,insertInterval,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour,getPolyWallSegments,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,init,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,tween,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,integrate,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,calcSmoothSteerDirection,A,N/A,,class-A leaf; needs runtime fixture (navmesh/agent) — exercised via enclosing query/crowd stage
detour_crowd,calcStraightSteerDirection,A,N/A,,class-A leaf; needs runtime fixture (navmesh/agent) — exercised via enclosing query/crowd stage
detour_crowd,getDistanceToGoal,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,addNeighbour,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,overOffmeshConnection,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,init,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,deinit,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,addAgent,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,removeAgent,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,requestMoveTarget,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,requestMoveVelocity,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,resetMoveTarget,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getActiveAgents,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,update,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,updateDebug,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getAgent,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getEditableAgent,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,updateAgentParameters,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getAgentCount,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,setObstacleAvoidanceParams,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getObstacleAvoidanceParams,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getFilter,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getPathQueueNavQuery,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getEditableFilter,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getQueryHalfExtents,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getVelocitySampleCount,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getGrid,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getPathQueue,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getNavMeshQuery,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getAgentIndex,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,addToPathQueue,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,addToOptQueue,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,requestMoveTargetReplan,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,checkPathValidity,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,updateMoveRequest,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,updateTopologyOptimization,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,init,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,reset,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getCenter,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getSegmentCount,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getSegment,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,addSegment,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,update,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,isValid,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,init,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,init,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,deinit,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,reset,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,normalizeSamples,A,N/A,,class-A leaf; needs runtime fixture (navmesh/agent) — exercised via enclosing query/crowd stage
detour_crowd,normalizeArray,A,TIE,1.87,"benched head-to-head; analog(s) gated, original optimal / at timer floor"
detour_crowd,sweepCircleCircle,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,isectRaySeg,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,normalize2D,A,TIE,1.78,"benched head-to-head; analog(s) gated, original optimal / at timer floor"
detour_crowd,rotate2D,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,init,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,deinit,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,reset,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,addCircle,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,addSegment,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getObstacleCircleCount,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getObstacleCircle,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getObstacleSegmentCount,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getObstacleSegment,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,prepare,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,processSample,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,sampleVelocityGrid,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,sampleVelocityAdaptive,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,init,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,deinit,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,reset,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getPos,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getTarget,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getFirstPoly,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getLastPoly,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getPath,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getPathCount,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,setCorridor,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,findCorners,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,isValid,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,movePosition,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,moveTargetPosition,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,optimizePathVisibility,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,optimizePathTopology,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,fixPathStart,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,trimInvalidPath,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,moveOverOffmeshConnection,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,mergeCorridorStartMoved,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,mergeCorridorEndMoved,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,mergeCorridorStartShortcut,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,init,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,deinit,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,update,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,request,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,getRequestStatus,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getPathResult,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getNavQuery,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,init,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,deinit,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,clear,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,addItem,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,queryItems,C,COVERED-VIA-STAGE,,internal helper; cost inside enclosing stage
detour_crowd,getItemCountAt,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getBounds,D,N/A,,lifecycle/alloc/dispatch — no analog
detour_crowd,getCellSize,D,N/A,,lifecycle/alloc/dispatch — no analog
